label,count,id,mouser,url,description
FB1,1,BLM18KG102SZ1D,81-BLM18KG102SZ1D,https://componentsearchengine.com/ga/part.php?partID=986569,Ferrite bead; 1 kOhm impedance; 1A max. DC current; 25%; -55 - +125 C
R1,1,MCT06030C5602FP500,594-MCT06030C5602FP5,https://componentsearchengine.com/ga/part.php?partID=358127,56 kOhm +/- 1%; 75 V; 125 mW; 50 PPM/C; -55 - +125 C
R2,1,MCT06030C3302FP500,594-MCT06030C3302FP5,https://componentsearchengine.com/ga/part.php?partID=2068733,33 kOhm +/- 1%; 75 V; 125 mW; 50 PPM/C; -55 - +125 C
R3,1,MCT06030C6801FP500,594-MCT06030C6801FP5,https://componentsearchengine.com/ga/part.php?partID=817124,6.8 kOhm +/- 1%; 75 V; 125 mW; 50 PPM/C; -55 C - +125 C
R4,1,MCT06030C1501FP500,594-MCT06030C1501FP5,https://componentsearchengine.com/ga/part.php?partID=358101,1.5 kOhm +/- 1%; 75 V; 125 mW; 50 PPM/C; -55 C - + 125 C
R5; R6; R7; R8; R9,5,MCT06030C1001FP500,594-MCT06030C1001FP5,https://componentsearchengine.com/ga/part.php?partID=344706,1 kOhm +/- 1 %; 75 V; 125 mW; 50 PPM/C; -55 C - + 125 C
R10; R11; R12; R13; R14; R15; R16; R17; R18,9,MCT06030C1000FP500,594-MCT06030C1000FP5,https://componentsearchengine.com/ga/part.php?partID=275011,100 Ohm +/- 1%; 75 V; 125 mW; 50 PPM/C; -55 - +125 C
L1; L2,2,LQW18AN27NJ80D,81-LQW18AN27NJ80D,https://componentsearchengine.com/ga/part.php?partID=1842442,27 nH +/- 5%; 1.2 A; 98 mOhm; -55 - +125 C
C1,1,GRM188R71A225KE15D,81-GRM188R71A225KE15,https://componentsearchengine.com/ga/part.php?partID=284939,2.2 uF +/- 10%; 10 VDC; X7R; -55 - +125 C
C2; C3; C4,3,0603ZC105KAT2A,581-0603ZC105KAT2A,https://componentsearchengine.com/ga/part.php?partID=562505,1 uF +/- 10%; 10 VDC; X7R; -55 - +125 C
C5,1,CC0603KRX7R6BB224,603-CC603KRX7R6BB224,https://componentsearchengine.com/ga/part.php?partID=569189,0.22 uF +/- 10%; 10 VDC; X7R; -55 - +125 C
C6; C7; C8; C9; C10,5,0603ZC104KAT2A,581-0603ZC104K,https://componentsearchengine.com/ga/part.php?partID=554714,0.1 uF +/- 10%; 10 VDC; X7R; -55 - +125 C
C11,1,885012006014,710-885012006014,https://componentsearchengine.com/ga/part.php?partID=1015881,1000 pF +/- 5%; 10 VDC; NP0; -55 - +125 C
C12; C13; C14; C15; C16; C17; C18,7,885012006010,710-885012006010,https://componentsearchengine.com/ga/part.php?partID=1161884,220 pF +/- 5%; 10 VDC; NP0; -55 - +125 C
C19; C20,2,VJ0603A3R9BXQCW1BC,77-VJ0603A3R9BXQCBC,https://componentsearchengine.com/ga/part.php?partID=11589540,3.9 +/- 0.1 pF; 10 VDC; NP0; -55 - +125 C
LED1; LED2,2,LG Q396-PS-35,720-LGQ396A3964,https://componentsearchengine.com/ga/part.php?partID=326177,Green LED (573 nm); If 20 mA; Vf 2.4 V; -30 - +85 C
Y1,1,FOX924B-27,559-FOX924B-27,https://componentsearchengine.com/ga/part.php?partID=323443,TCXO oscillator; 27 MHz; 3.3 V; 2.5 PPM; 15 pF; 6 mA; -30 - +85 C
IC1,1,CC1110F32RHHR,595-CC1110F32RHHR,https://componentsearchengine.com/ga/part.php?partID=276680,MCU
IC2,1,F2972NEGK,972-F2972NEGK,https://componentsearchengine.com/ga/part.php?partID=1440270,RF Switch
IC3,1,RFFM6404TR13,772-RFFM6404TR13,https://componentsearchengine.com/ga/part.php?partID=11614616,RF Front End
IC4,1,STA0693A,None,None,SAW Filter
J4,1,A-1JB,523-A-1JB,https://componentsearchengine.com/ga/part.php?partID=1102502,50 Ohm impedance; 6 GHz max. freq.; Straight; -40 - +155 C
