Reference, Quantity, Value, Footprint, Datasheet, Manufacturer Part Number, Vendor, Vendor Part Number
C1 ,1,"10nF","ta-ctrl:C_0603_1608Metric_ctrl_cpy","https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf","C0603C103F3GACTU","Digikey","399-8985-1-ND"
C13 C11 ,2,"4pF","ta-ctrl:C_0402_1005Metric","https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us","GJM1555C1H4R0BB01D","Digikey","490-8100-1-ND"
C3 C6 ,2,"10uF","ta-ctrl:C_0603_1608Metric_ctrl_cpy","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1608X7S0J106M080AC","Digikey","445-9104-1-ND"
C4 C2 C8 C10 C12 ,5,"100nF","ta-ctrl:C_0603_1608Metric_ctrl_cpy","https://content.kemet.com/datasheets/KEM_C1023_X7R_AUTO_SMD.pdf","C0603C104K8RACAUTO","Digikey","399-17574-1-ND"
C5 ,1,"2.2uF","ta-ctrl:C_0603_1608Metric_ctrl_cpy","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","C0603C225K8RACTU","Digikey","399-11681-1-ND"
C9 C7 ,2,"8pF","ta-ctrl:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H8R0DA01-01.pdf","GRM1555C1H8R0DA01D","Digikey","490-5867-1-ND"
D1 ,1,"3.3V","ta-ctrl:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/BZX84J_SER.pdf","BZX84J-B3V3,115","Digikey","1727-1671-1-ND"
J1 J2 ,2,"PinSocket_16_ctrl","ta-ctrl:PinSocket_1x16_TartanArtibeus_ctrl_cpy",""
J3 ,1,"MountingHole_ctrl","ta-ctrl:MountingHoles_TartanArtibeus_ctrl_cpy",""
J4 J5 ,2,"PinSocket_4_ctrl","ta-ctrl:PinSocket_1x4_TartanArtibeus_ctrl_cpy",""
J6 ,1,"PinSocket_5_ctrl","ta-ctrl:PinSocket_1x5_right_TartanArtibeus_ctrl_cpy",""
J7 ,1,"PinSocket_5_ctrl","ta-ctrl:PinSocket_1x5_left_TartanArtibeus_ctrl_cpy",""
R13 R14 R17 R15 ,4,"10k","ta-ctrl:R_0603_1608Metric_ctrl_cpy","https://www.digikey.com/product-detail/en/vishay-dale/CRCW060310K0FKEAHP/541-10-0KSCT-ND/2222780","CRCW060310K0FKEAHP","Digikey","541-10.0KSCT-ND"
R3 R2 R1 R4 R7 R6 R5 R8 R11 R10 R9 R12 R19 R18 R16 R20 R21 ,17,"DNP","ta-ctrl:R_0603_1608Metric_ctrl_cpy","~"
U1 U3 U2 ,3,"LSF0204","ta-ctrl:TSSOP-14","https://www.ti.com/lit/ds/symlink/lsf0204-q1.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1595462922658","LSF0204QPWRQ1","Digikey","296-51425-1-ND"
U4 ,1,"LSM9DS1","ta-ctrl:LSM9DS1TRL","http://www.st.com/content/ccc/resource/technical/document/datasheet/1e/3f/2a/d6/25/eb/48/46/DM00103319.pdf/files/DM00103319.pdf/jcr:content/translations/en.DM00103319.pdf","LSM9DS1TR","Digikey","497-14946-1-ND"
U5 ,1,"HT-GPS200.20","ta-ctrl:HT-GPS200.20",""
U6 ,1,"MSP430FR5994IPM","ta-ctrl:MSP430FR5994IPM","https://www.ti.com/lit/ds/symlink/msp430fr5994.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1595943774843","MSP430FR5994IPMR","Digikey","296-45560-1-ND"
Y1 ,1,"32.768kHz","ta-ctrl:ECS327934QSTR","https://www.mouser.com/datasheet/2/122/ECX-34Q-938174.pdf","ECS-.327-6-34QCS-TR","Mouser","520-.327-6-34QCST"
Y2 ,1,"24MHz","ta-ctrl:ECX-1247","https://www.mouser.com/datasheet/2/122/ECX-1247Q-1388650.pdf","ECS-240-10-47Q-CES-TR","Mouser","520-240-10-47Q-CEST"
